id,category_id,variant_id,speaker_id,speaker_sex,variant_type,word,vector
A_002_11,2,11,1,F,low,baby,-255.51678524998496 -328.36371129733215 -388.0054486028825 -443.8303150124005 148.74258742395045 147.15036880239322 138.9913856415344 101.5942136091963 -34.37374942080119 -7.461312395599605 7.5195734812084165 24.12042109166684 64.34388927345086 66.5366365350506 63.03429979954568 81.31443220592035 26.88770837898299 62.09634149695701 83.35884115003464 77.48134817676615 11.89841986853482 11.47727395039748 36.0900536766009 33.2279912799774 -51.46605975597693 -54.1325086119994 -36.903558295443716 -18.183250369349988
A_002_12,2,12,1,F,low,baby,-250.9304376356246 -331.09923646766043 -429.8219088339079 -487.1708027670789 164.4846667724077 164.8629866365382 132.8392304423438 99.27500079163609 -60.15139941410132 -29.6866965563038 1.0825474961193222 17.89024034775207 44.10044852633937 39.806453590521855 53.477580864133216 73.42085439602714 14.377133195717128 49.96168924039873 65.22262139974399 64.20570579857511 16.021245708857073 13.103360441755827 26.118831832060454 26.694204381247104 -40.26930487952619 -49.22653986473448 -29.737571754998413 -6.632960544891481
A_002_13,2,13,1,F,low,baby,-276.14169122546605 -351.7636588877209 -429.1008306156539 -513.2915564545968 160.7898906552022 156.0737465599395 125.26358007321264 86.40224346700052 -49.19166987468557 -17.102273722882146 18.25342165695794 45.06396863018877 30.450104010262812 31.874639850528474 55.47178909390951 56.98638948399551 29.75589421597816 58.46238670661864 68.10066972176105 58.576199560811546 13.678568699839012 12.649819954598028 28.8382219825859 28.91420177170776 -43.40360239466273 -48.32837675825836 -25.3575519816177 -10.2038866047242
A_002_14,2,14,1,F,low,baby,-260.1654907646817 -329.1476289481627 -401.9406061910742 -481.2948977854899 147.64711194549014 157.43937334502527 145.3148173111632 104.0037451871325 -62.33532015400195 -41.58183807693189 -3.04766250635156 22.846983192995452 47.441469596860216 48.84809500621989 65.29429833766348 80.91297022983127 17.216891131431773 54.34482041010912 69.44181670657511 65.40832046617865 14.56972990637775 4.878832367351317 9.12473493852567 8.692270215190526 -44.281408720916446 -49.166977423930085 -37.58619262363706 -21.51911964915081
A_002_15,2,15,1,F,low,baby,-274.5011942639496 -333.13584248526547 -413.9446868955276 -492.6866705403794 161.12542166083352 154.39826704797946 133.55937972462976 90.55415194318886 -49.67529547769842 -22.146742750339158 11.154819374426737 23.084030379913433 51.68753360857427 63.32620829469968 93.87665592131353 98.58262840565239 18.989830825338736 41.150130764676916 64.81642987894024 62.6997307901988 14.641151981177149 3.3967396486231123 6.6759712511693525 3.5796903596055425 -42.85651301912988 -48.546414941693754 -39.435540995071534 -26.730913656738178
A_002_16,2,16,1,F,low,baby,-246.76671493932463 -293.32727997232746 -345.3041857310275 -401.5412568351002 157.16707970956264 147.46945545141006 138.66649509832138 105.85939769189483 -44.39025232566791 -24.356526458167238 -6.04220006043487 2.988959429286373 54.9632508920337 56.82482545215984 63.859862780485365 88.28051658609482 8.45641529393265 32.34851555696353 50.51189714372096 58.91861094325125 22.30157082657533 18.349468173372724 32.020520640678875 15.189245738238316 -37.99406544553602 -47.70402590423666 -34.488841388927256 -28.921263719565477
A_002_17,2,17,1,F,low,baby,-253.07555944248068 -290.9707078681226 -386.1319132815633 -461.9277680135659 144.79210732592006 152.27200788317532 147.40135971450133 107.47108497035752 -58.357920193890294 -60.298708298083724 -30.39179876144978 2.90958608248076 50.271403035993 41.73187709984677 46.39386277623578 77.42075382987235 14.310858238717744 41.680123497573305 68.7764555718199 76.61480234099443 16.93993653410697 9.474593705919922 9.249232125334737 14.890784573410974 -56.34909857891212 -56.30301805211282 -34.173042402180094 -23.78143413156633
A_002_18,2,18,1,F,low,baby,-247.7294545762213 -299.97053912607555 -379.9420856269989 -438.4416465814352 148.27300100716937 157.14660639860725 157.56799265071896 104.48713173223524 -50.21440336040708 -42.553829141161074 -2.565525581645736 12.650449944234484 49.25244487033906 38.806842880814955 42.39742266220617 91.02208282842217 23.412036162321215 56.87551931950179 64.15503423065732 65.61017446512115 23.29358409945747 20.180504270226933 22.809532365863753 12.105351995689189 -59.524198095893624 -58.28059550879128 -36.90647355290563 -16.254145235875328
A_002_19,2,19,1,F,low,baby,-259.0953242144975 -305.9822229940562 -368.4425509956642 -443.0254808059197 150.27829018209252 151.97080423823502 139.81399900699967 99.47008826247732 -50.33797111112577 -33.75282482782101 0.32912861630259915 23.965536720386034 42.960123264880465 37.737320134582596 42.286785873061646 66.89615206713995 27.755402027740097 57.22814589637302 64.01102933301345 66.23189963570242 16.933999032767595 19.342687563387738 35.54505355364054 24.31042872648769 -49.502853826770064 -51.72478341979901 -32.123212483301664 -30.080922725634757
A_002_20,2,20,1,F,low,baby,-274.881089913245 -313.7383354610567 -353.7123801783259 -449.7363928550235 157.4957632629331 162.00000731696178 146.95029905321547 114.02333563224934 -39.5678621692512 -29.240339013925755 -8.243165799008398 10.002538808463282 33.57170839819709 35.395341942007505 61.78180980798889 69.68654731088837 14.055075562344594 39.32312388306301 54.479354763586116 69.21692555542843 24.647939040099452 21.626482009655568 31.184807682635796 17.366045233157614 -62.66254875271704 -63.671365498243105 -50.84924245397869 -43.234872551084386
